timestamp(ms),ADXL_X,ADXL_Y,ADXL_Z,ADXL_T,LIS_X,LIS_Y,LIS_Z,LIS_T
1776664712,0.035259,-0.067833,0.977638,0.980623,0.066,0.031,1.064,1.0665
1776664712,0.03471,-0.068241,0.97789,,,,,
1776664712,,,,0.980883,0.071,0.033,1.076,1.0788
1776664712,0.03471,-0.068241,0.97789,0.980883,0.061,0.037,1.075,1.0774
1776664712,0.034012,-0.068512,,,,,,
1776664712,,,0.977726,0.980713,0.065,0.034,1.064,1.0665
1776664712,0.034012,-0.068512,0.977726,0.980713,0.068,0.031,1.066,1.0686
1776664712,0.035595,-0.068268,0.978565,0.981589,,,,
1776664712,,,,,0.061,0.038,1.074,1.0764
1776664712,0.034389,-0.067295,0.979156,0.982069,0.057,0.039,1.081,1.0832
1776664712,0.034389,-0.067295,,,,,,
1776664712,,,0.979156,0.982069,0.058,0.04,1.063,1.0653
1776664712,0.034294,-0.068356,0.977894,0.98088,0.061,0.041,1.084,1.0865
1776664712,0.034935,,,,,,,
1776664712,,-0.067867,0.978073,0.981047,0.062,0.037,1.067,1.0694
1776664712,0.034935,-0.067867,0.978073,0.981047,0.069,0.041,1.06,1.063
1776664712,0.033657,-0.067165,0.978363,,,,,
1776664712,,,,0.981243,0.057,0.041,1.07,1.0723
1776664712,0.035213,-0.068535,0.978516,0.981545,0.06,0.044,1.067,1.0696
1776664712,0.035213,,,,,,,
1776664712,,-0.068535,0.978516,0.981545,0.068,0.042,1.061,1.064
1776664712,0.034893,-0.069305,,,,,,
1776664712,,,0.977932,0.981005,0.058,0.035,1.062,1.0642
1776664712,0.034893,-0.069305,0.977932,,,,,
1776664712,,,,0.981005,0.068,0.04,1.078,1.0809
1776664712,0.034718,-0.067825,0.979599,0.982558,0.066,,,
1776664712,,,,,,0.033,1.061,1.0636
1776664712,0.0345,-0.068089,,,,,,
1776664712,,,0.978645,0.981618,0.067,0.03,1.07,1.0725
1776664712,0.0345,-0.068089,0.978645,0.981618,0.068,0.035,1.078,
1776664712,,,,,,,,1.0807
1776664712,0.034012,-0.067841,0.978874,,,,,
1776664712,,,,0.981812,0.063,0.033,1.076,1.0783
1776664712,0.035561,-0.068424,0.978352,0.981386,0.062,0.03,1.073,1.0752
1776664712,0.035561,-0.068424,0.978352,,,,,
1776664712,,,,0.981386,0.06,0.039,1.077,1.0794
1776664712,0.034977,-0.068054,0.978531,0.981518,0.061,0.035,1.076,
1776664712,,,,,,,,1.0783
1776664712,0.03455,-0.068962,,,,,,
1776664712,,,0.978291,0.981327,0.064,0.034,1.076,1.0784
1776664712,0.03455,,,,,,,
1776664712,0.034691,-0.068596,0.97773,0.981327,0.06,0.033,1.074,1.0762
1776664712,,,,0.980747,0.06,0.034,1.073,1.0752
1776664712,0.034691,-0.068596,0.97773,0.980747,0.067,0.037,1.073,1.0757
